"index","Genus","SpecificEpithet","InfraspecificRank","InfraspecificName","Authority","InfraspecificAuthority","AuthorityCorrected","Cultivar","OriginalName","TaxonNameAuthorCV","TaxonNameAuthor","TaxonNameCV","TaxonName","Code_No","Num","Family","EndangeredSpecies","RarePlants","ExoticPlants","KoreanEndemicPlants","ClimateSensitiveBiologicalIndicatorSpecies","KoreanRedListOfThreatenedSpecies","BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer","FloristicTargetSpecies","PlantsAdaptableToClimateChange","Native_NABI","Cultivated_NABI","Naturalized_NABI"
27,"Pinus","banksiana","","","Lamb.","","Lamb.","","Pinus banksiana Lamb.","Pinus banksiana Lamb.","Pinus banksiana Lamb.","Pinus banksiana","Pinus banksiana",13005,429,"Pinaceae","","","","","","","","","","",1,""
28,"Pinus","bungeana","","","Zucc. ex Endl.","","Zucc. ex Endl.","","Pinus bungeana Zucc. ex Endl.","Pinus bungeana Zucc. ex Endl.","Pinus bungeana Zucc. ex Endl.","Pinus bungeana","Pinus bungeana",13007,430,"Pinaceae","","","","","","","","","","",1,""
29,"Pinus","densiflora","","","Siebold & Zucc.","","Siebold & Zucc.","","Pinus densiflora Siebold & Zucc.","Pinus densiflora Siebold & Zucc.","Pinus densiflora Siebold & Zucc.","Pinus densiflora","Pinus densiflora",13028,431,"Pinaceae","","","","","","","1","","","1",1,""
30,"Pinus","densiflora","f.","aggregata","Siebold & Zucc.","Nakai","Nakai","","Pinus densiflora Siebold & Zucc. forma aggregata Nakai","Pinus densiflora f. aggregata Nakai","Pinus densiflora f. aggregata Nakai","Pinus densiflora f. aggregata","Pinus densiflora f. aggregata",13018,432,"Pinaceae","","","","","","","","","","1",1,""
31,"Pinus","densiflora","f.","congesta","Siebold & Zucc.","Uyeki","Uyeki","","Pinus densiflora Siebold & Zucc. forma congesta Uyeki","Pinus densiflora f. congesta Uyeki","Pinus densiflora f. congesta Uyeki","Pinus densiflora f. congesta","Pinus densiflora f. congesta",13019,433,"Pinaceae","","","","","","","","","","1",1,""
32,"Pinus","densiflora","f.","erecta","Siebold & Zucc.","Uyeki","Uyeki","","Pinus densiflora Siebold & Zucc. forma erecta Uyeki","Pinus densiflora f. erecta Uyeki","Pinus densiflora f. erecta Uyeki","Pinus densiflora f. erecta","Pinus densiflora f. erecta",13029,434,"Pinaceae","","","","","","","","","","1",1,""
33,"Pinus","densiflora","f.","multicaulis","Siebold & Zucc.","Uyeki","Uyeki","","Pinus densiflora Siebold & Zucc. forma multicaulis Uyeki","Pinus densiflora f. multicaulis Uyeki","Pinus densiflora f. multicaulis Uyeki","Pinus densiflora f. multicaulis","Pinus densiflora f. multicaulis",13021,435,"Pinaceae","","","","","","","","","","1",1,""
34,"Pinus","densiflora","f.","pendula","Siebold & Zucc.","Mayr","Mayr","","Pinus densiflora Siebold & Zucc. forma pendula Mayr","Pinus densiflora f. pendula Mayr","Pinus densiflora f. pendula Mayr","Pinus densiflora f. pendula","Pinus densiflora f. pendula",13022,436,"Pinaceae","","","","","","","","","","1",1,""
35,"Pinus","densiflora","f.","vittata","Siebold & Zucc.","Uyeki","Uyeki","","Pinus densiflora Siebold & Zucc. forma vittata Uyeki","Pinus densiflora f. vittata Uyeki","Pinus densiflora f. vittata Uyeki","Pinus densiflora f. vittata","Pinus densiflora f. vittata",13023,437,"Pinaceae","","","","","","","","","","1",1,""
36,"Pinus","koraiensis","","","Siebold & Zucc.","","Siebold & Zucc.","","Pinus koraiensis Siebold & Zucc.","Pinus koraiensis Siebold & Zucc.","Pinus koraiensis Siebold & Zucc.","Pinus koraiensis","Pinus koraiensis",13041,438,"Pinaceae","","","","","","","1","Ⅱ","","1",1,""
37,"Pinus","parviflora","","","Siebold & Zucc.","","Siebold & Zucc.","","Pinus parviflora Siebold & Zucc.","Pinus parviflora Siebold & Zucc.","Pinus parviflora Siebold & Zucc.","Pinus parviflora","Pinus parviflora",13074,439,"Pinaceae","","","","","","","1","Ⅳ","","1",1,""
38,"Pinus","pumila","","","(Pall.) Regel","","(Pall.) Regel","","Pinus pumila (Pall.) Regel","Pinus pumila (Pall.) Regel","Pinus pumila (Pall.) Regel","Pinus pumila","Pinus pumila",13081,440,"Pinaceae","","CR","","","1","VU","1","Ⅴ","","1",1,""
39,"Pinus","pungens","","","Lamb.","","Lamb.","","Pinus pungens Lamb.","Pinus pungens Lamb.","Pinus pungens Lamb.","Pinus pungens","Pinus pungens",13082,441,"Pinaceae","","","","","","","","","","",1,""
40,"Pinus","rigida","","","Mill.","","Mill.","","Pinus rigida Mill.","Pinus rigida Mill.","Pinus rigida Mill.","Pinus rigida","Pinus rigida",13086,442,"Pinaceae","","","PIP (CAP)","","","","","","","",1,""
41,"Pinus","strobus","","","L.","","L.","","Pinus strobus L.","Pinus strobus L.","Pinus strobus L.","Pinus strobus","Pinus strobus",13091,443,"Pinaceae","","","","","","","","","","",1,""
42,"Pinus","sylvestris","","","L.","","L.","","Pinus sylvestris L.","Pinus sylvestris L.","Pinus sylvestris L.","Pinus sylvestris","Pinus sylvestris",13103,444,"Pinaceae","","","","","","","","","","",1,""
43,"Pinus","taeda","","","L.","","L.","","Pinus taeda L.","Pinus taeda L.","Pinus taeda L.","Pinus taeda","Pinus taeda",13106,446,"Pinaceae","","","","","","","","","","",1,""
44,"Pinus","thunbergii","","","Parl.","","Parl.","","Pinus thunbergii Parl.","Pinus thunbergii Parl.","Pinus thunbergii Parl.","Pinus thunbergii","Pinus thunbergii",13117,447,"Pinaceae","","","","","","","","","","1",1,""
45,"Pinus","thunbergii","f.","multicaulis","Parl.","Uyeki","Uyeki","","Pinus thunbergii Parl. forma multicaulis Uyeki","Pinus thunbergii f. multicaulis Uyeki","Pinus thunbergii f. multicaulis Uyeki","Pinus thunbergii f. multicaulis","Pinus thunbergii f. multicaulis",13109,448,"Pinaceae","","","","","","","","","","1",1,""
46,"Pinus","× rigitaeda","","","S.K.Hyun & Ahn","","S.K.Hyun & Ahn","","Pinus × rigitaeda S. K. Hyun & Ahn","Pinus × rigitaeda S.K.Hyun & Ahn","Pinus × rigitaeda S.K.Hyun & Ahn","Pinus × rigitaeda","Pinus × rigitaeda",20143,449,"Pinaceae","","","","","","","","","","",1,""
47,"Pseudotsuga","menziesii","","","(Mirb.) Franco","","(Mirb.) Franco","","Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga menziesii",13993,450,"Pinaceae","","","","","","","","","","",1,""
48,"Tsuga","sieboldii","","","Carrière","","Carrière","","Tsuga sieboldii Carrière","Tsuga sieboldii Carrière","Tsuga sieboldii Carrière","Tsuga sieboldii","Tsuga sieboldii",17033,451,"Pinaceae","","LC","","","","LC","1","Ⅳ","","1",1,""
49,"Brasenia","schreberi","","","J.F.Gmel.","","J.F.Gmel.","","Brasenia schreberi J. F. Gmel.","Brasenia schreberi J.F.Gmel.","Brasenia schreberi J.F.Gmel.","Brasenia schreberi","Brasenia schreberi",2384,452,"Cabombaceae","Ⅱ","VU","","","","VU","","Ⅴ","","1",1,""
50,"Cabomba","caroliniana","","","A.Gray","","A.Gray","","Cabomba caroliniana A. Gray","Cabomba caroliniana A.Gray","Cabomba caroliniana A.Gray","Cabomba caroliniana","Cabomba caroliniana",2553,453,"Cabombaceae","","","IAP (CAP)","","","","","","","",1,"1"
51,"Euryale","ferox","","","Salisb. ex K.D.Koenig & Sims","","Salisb. ex K.D.Koenig & Sims","","Euryale ferox Salisb. ex K. D. Koenig & Sims","Euryale ferox Salisb. ex K.D.Koenig & Sims","Euryale ferox Salisb. ex K.D.Koenig & Sims","Euryale ferox","Euryale ferox",6814,454,"Nymphaeaceae","Ⅱ","VU","","","","VU","","Ⅴ","","1",1,""
52,"Nymphaea","alba","","","L.","","L.","","Nymphaea alba L.","Nymphaea alba L.","Nymphaea alba L.","Nymphaea alba","Nymphaea alba",11826,459,"Nymphaeaceae","","","PIP (CAP)","","","","","","","",1,""
