"index","Genus","SpecificEpithet","InfraspecificRank","InfraspecificName","Authority","InfraspecificAuthority","AuthorityCorrected","Cultivar","OriginalName","TaxonNameAuthorCV","TaxonNameAuthor","TaxonNameCV","TaxonName","Code_No","Num","Family","EndangeredSpecies","RarePlants","ExoticPlants","KoreanEndemicPlants","ClimateSensitiveBiologicalIndicatorSpecies","KoreanRedListOfThreatenedSpecies","BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer","FloristicTargetSpecies","PlantsAdaptableToClimateChange","Native_NABI","Cultivated_NABI","Naturalized_NABI"
472,"Amaranthus","retroflexus","","","L.","","L.","","Amaranthus retroflexus L.","Amaranthus retroflexus L.","Amaranthus retroflexus L.","Amaranthus retroflexus","Amaranthus retroflexus",1019,2350,"Amaranthaceae","","","PIP (UN)","","","","","","","",1,"1"
473,"Amaranthus","tricolor","","","L.","","L.","","Amaranthus tricolor L.","Amaranthus tricolor L.","Amaranthus tricolor L.","Amaranthus tricolor","Amaranthus tricolor",1021,2352,"Amaranthaceae","","","PIP (UN)","","","","","","","",1,""
474,"Beta","vulgaris","var.","altissima","L.","Döll","Döll","","Beta vulgaris L. var. altissima Döll","Beta vulgaris var. altissima Döll","Beta vulgaris var. altissima Döll","Beta vulgaris var. altissima","Beta vulgaris var. altissima",2203,2360,"Amaranthaceae","","","","","","","","","","",1,""
475,"Beta","vulgaris","var.","cicla","L.","L.","L.","","Beta vulgaris L. var. cicla L.","Beta vulgaris var. cicla L.","Beta vulgaris var. cicla L.","Beta vulgaris var. cicla","Beta vulgaris var. cicla",2205,2361,"Amaranthaceae","","","","","","","","","","",1,""
476,"Celosia","argentea","var.","plumosa","L.","Voss","Voss","","Celosia argentea L. var. plumosa Voss","Celosia argentea var. plumosa Voss","Celosia argentea var. plumosa Voss","Celosia argentea var. plumosa","Celosia argentea var. plumosa",3765,2363,"Amaranthaceae","","","","","","","","","","",1,""
477,"Celosia","cristata","","","L.","","L.","","Celosia cristata L.","Celosia cristata L.","Celosia cristata L.","Celosia cristata","Celosia cristata",3767,2364,"Amaranthaceae","","","","","","","","","","",1,""
478,"Chenopodium","hybridum","","","L.","","L.","","Chenopodium hybridum L.","Chenopodium hybridum L.","Chenopodium hybridum L.","Chenopodium hybridum","Chenopodium hybridum",4051,2375,"Amaranthaceae","","","PIP (UN)","","","","","","","",1,"1"
479,"Gomphrena","globosa","","","L.","","L.","","Gomphrena globosa L.","Gomphrena globosa L.","Gomphrena globosa L.","Gomphrena globosa","Gomphrena globosa",7577,2385,"Amaranthaceae","","","PIP (CAP)","","","","","","","",1,""
480,"Kochia","scoparia","","","(L.) Schrad.","","(L.) Schrad.","","Kochia scoparia (L.) Schrad.","Kochia scoparia (L.) Schrad.","Kochia scoparia (L.) Schrad.","Kochia scoparia","Kochia scoparia",9923,2386,"Amaranthaceae","","","IAP (NP)","","","","","","","",1,"1"
481,"Spinacia","oleracea","","","L.","","L.","","Spinacia oleracea L.","Spinacia oleracea L.","Spinacia oleracea L.","Spinacia oleracea","Spinacia oleracea",16190,2392,"Amaranthaceae","","","","","","","","","","",1,""
482,"Opuntia","ficusindica","","","(L.) Mill.","","(L.) Mill.","","Opuntia ficusindica (L.) Mill.","Opuntia ficusindica (L.) Mill.","Opuntia ficusindica (L.) Mill.","Opuntia ficusindica","Opuntia ficusindica",11999,2399,"Cactaceae","","","PIP (CAP)","","","","","","","1",1,""
483,"Opuntia","humifusa","","","(Raf.) Raf.","","(Raf.) Raf.","","Opuntia humifusa (Raf.) Raf.","Opuntia humifusa (Raf.) Raf.","Opuntia humifusa (Raf.) Raf.","Opuntia humifusa","Opuntia humifusa",12001,2400,"Cactaceae","","","PIP (CAP)","","","","","","","",1,""
484,"Opuntia","monacantha","","","Haw.","","Haw.","","Opuntia monacantha Haw.","Opuntia monacantha Haw.","Opuntia monacantha Haw.","Opuntia monacantha","Opuntia monacantha",20112,2401,"Cactaceae","","","PIP (CAP)","","","","","","","",1,"1"
485,"Zygocactus","truncatus","","","K.Schum.","","K.Schum.","","Zygocactus truncatus K. Schum.","Zygocactus truncatus K.Schum.","Zygocactus truncatus K.Schum.","Zygocactus truncatus","Zygocactus truncatus",17863,2402,"Cactaceae","","","","","","","","","","",1,""
486,"Agrostemma","githago","","","L.","","L.","","Agrostemma githago L.","Agrostemma githago L.","Agrostemma githago L.","Agrostemma githago","Agrostemma githago",718,2403,"Caryophyllaceae","","","PIP (UN)","","","","","","","",1,""
487,"Dianthus","armeria","","","L.","","L.","","Dianthus armeria L.","Dianthus armeria L.","Dianthus armeria L.","Dianthus armeria","Dianthus armeria",5587,2417,"Caryophyllaceae","","","IAP (CAP)","","","","","","","",1,"1"
488,"Dianthus","barbatus","var.","aisaticus","L.","Nakai","Nakai","","Dianthus barbatus L. var. aisaticus Nakai","Dianthus barbatus var. aisaticus Nakai","Dianthus barbatus var. aisaticus Nakai","Dianthus barbatus var. aisaticus","Dianthus barbatus var. aisaticus",5589,2418,"Caryophyllaceae","","","PIP (CAP)","","","","","","","1",1,""
489,"Dianthus","caryophyllus","","","L.","","L.","","Dianthus caryophyllus L.","Dianthus caryophyllus L.","Dianthus caryophyllus L.","Dianthus caryophyllus","Dianthus caryophyllus",5604,2419,"Caryophyllaceae","","","PIP (CAP)","","","","","","","",1,""
490,"Dianthus","chinensis","","","L.","","L.","","Dianthus chinensis L.","Dianthus chinensis L.","Dianthus chinensis L.","Dianthus chinensis","Dianthus chinensis",5616,2420,"Caryophyllaceae","","","","","","","1","","","1",1,""
491,"Dianthus","chinensis","var.","morii","L.","(Nakai) Y.C.Chu","(Nakai) Y.C.Chu","","Dianthus chinensis L. var. morii (Nakai) Y. C. Chu","Dianthus chinensis var. morii (Nakai) Y.C.Chu","Dianthus chinensis var. morii (Nakai) Y.C.Chu","Dianthus chinensis var. morii","Dianthus chinensis var. morii",5618,2421,"Caryophyllaceae","","","","","","","","","","1",1,""
492,"Dianthus","deltoides","","","L.","","L.","","Dianthus deltoides L.","Dianthus deltoides L.","Dianthus deltoides L.","Dianthus deltoides","Dianthus deltoides",5625,2424,"Caryophyllaceae","","","","","","","","","","",1,""
493,"Dianthus","longicalyx","","","Miq.","","Miq.","","Dianthus longicalyx Miq.","Dianthus longicalyx Miq.","Dianthus longicalyx Miq.","Dianthus longicalyx","Dianthus longicalyx",5642,2427,"Caryophyllaceae","","","","","","","1","","","1",1,""
494,"Dianthus","superbus","","","L.","","L.","","Dianthus superbus L.","Dianthus superbus L.","Dianthus superbus L.","Dianthus superbus","Dianthus superbus",5663,2429,"Caryophyllaceae","","","","","","","","","","",1,""
495,"Gypsophila","elegans","","","M.Bieb.","","M.Bieb.","","Gypsophila elegans M. Bieb.","Gypsophila elegans M.Bieb.","Gypsophila elegans M.Bieb.","Gypsophila elegans","Gypsophila elegans",7694,2433,"Caryophyllaceae","","","","","","","","","","",1,""
496,"Lychnis","coronaria","","","(L.) Desr.","","(L.) Desr.","","Lychnis coronaria (L.) Desr.","Lychnis coronaria (L.) Desr.","Lychnis coronaria (L.) Desr.","Lychnis coronaria","Lychnis coronaria",10776,2440,"Caryophyllaceae","","","","","","","","","","",1,"1"
497,"Psammophiliella","muralis","","","(L.) Ikonn.","","(L.) Ikonn.","","Psammophiliella muralis (L.) Ikonn.","Psammophiliella muralis (L.) Ikonn.","Psammophiliella muralis (L.) Ikonn.","Psammophiliella muralis","Psammophiliella muralis",20227,2450,"Caryophyllaceae","","","PIP (CAP)","","","","","","","",1,""
498,"Saponaria","officinalis","","","L.","","L.","","Saponaria officinalis L.","Saponaria officinalis L.","Saponaria officinalis L.","Saponaria officinalis","Saponaria officinalis",15330,2480,"Caryophyllaceae","","","IAP (CAP)","","","","","","","",1,"1"
499,"Spergularia","marina","","","(L.) Griseb","","(L.) Griseb","","Spergularia marina (L.) Griseb","Spergularia marina (L.) Griseb","Spergularia marina (L.) Griseb","Spergularia marina","Spergularia marina",16182,2505,"Caryophyllaceae","","","","","","","1","","","1",1,""
500,"Vaccaria","hispanica","","","(Mill.) Rauschert","","(Mill.) Rauschert","","Vaccaria hispanica (Mill.) Rauschert","Vaccaria hispanica (Mill.) Rauschert","Vaccaria hispanica (Mill.) Rauschert","Vaccaria hispanica","Vaccaria hispanica",17154,2521,"Caryophyllaceae","","","PIP (UN)","","","","","","","",1,"1"
501,"Drosera","spatulata","","","Labill.","","Labill.","","Drosera spatulata Labill.","Drosera spatulata Labill.","Drosera spatulata Labill.","Drosera spatulata","Drosera spatulata",5968,2526,"Droseraceae","","","","","","","","","","",1,""
502,"Mirabilis","jalapa","","","L.","","L.","","Mirabilis jalapa L.","Mirabilis jalapa L.","Mirabilis jalapa L.","Mirabilis jalapa","Mirabilis jalapa",11464,2529,"Nyctaginaceae","","","IAP (NP)","","","","","","","",1,"1"
503,"Phytolacca","acinosa","","","Roxb.","","Roxb.","","Phytolacca acinosa Roxb.","Phytolacca acinosa Roxb.","Phytolacca acinosa Roxb.","Phytolacca acinosa","Phytolacca acinosa",12836,2530,"Phytolaccaceae","","","Arc.","","","","1","Ⅳ","","",1,"1"
504,"Fagopyrum","esculentum","","","Moench","","Moench","","Fagopyrum esculentum Moench","Fagopyrum esculentum Moench","Fagopyrum esculentum Moench","Fagopyrum esculentum","Fagopyrum esculentum",6835,2554,"Polygonaceae","","","Arc.","","","","","","","",1,"1"
505,"Fagopyrum","tataricum","","","(L.) Gaertn.","","(L.) Gaertn.","","Fagopyrum tataricum (L.) Gaertn.","Fagopyrum tataricum (L.) Gaertn.","Fagopyrum tataricum (L.) Gaertn.","Fagopyrum tataricum","Fagopyrum tataricum",6836,2555,"Polygonaceae","","","PIP (UN)","","","","","","","",1,""
506,"Fallopia","multiflora","","","(Thunb.) Haraldson","","(Thunb.) Haraldson","","Fallopia multiflora (Thunb.) Haraldson","Fallopia multiflora (Thunb.) Haraldson","Fallopia multiflora (Thunb.) Haraldson","Fallopia multiflora","Fallopia multiflora",6876,2564,"Polygonaceae","","","IAP (NP)","","","","","","","",1,"1"
507,"Persicaria","wallichii","","","Greuter & Burdet","","Greuter & Burdet","","Persicaria wallichii Greuter & Burdet","Persicaria wallichii Greuter & Burdet","Persicaria wallichii Greuter & Burdet","Persicaria wallichii","Persicaria wallichii",12563,2578,"Polygonaceae","","","PIP (UN)","","","","","","","",1,"1"
508,"Polygonum","equisetiforme","","","Sibth. & Sm.","","Sibth. & Sm.","","Polygonum equisetiforme Sibth. & Sm.","Polygonum equisetiforme Sibth. & Sm.","Polygonum equisetiforme Sibth. & Sm.","Polygonum equisetiforme","Polygonum equisetiforme",13370,2587,"Polygonaceae","","","PIP (UN)","","","","","","","",1,"1"
509,"Polygonum","tinctorium","","","Aiton","","Aiton","","Polygonum tinctorium Aiton","Polygonum tinctorium Aiton","Polygonum tinctorium Aiton","Polygonum tinctorium","Polygonum tinctorium",13410,2618,"Polygonaceae","","","Arc.","","","","","","","",1,"1"
510,"Rheum","rhabarbarum","","","L.","","L.","","Rheum rhabarbarum L.","Rheum rhabarbarum L.","Rheum rhabarbarum L.","Rheum rhabarbarum","Rheum rhabarbarum",14361,2624,"Polygonaceae","","","","","","","","","","",1,""
511,"Portulaca","grandiflora","","","Hook.","","Hook.","","Portulaca grandiflora Hook.","Portulaca grandiflora Hook.","Portulaca grandiflora Hook.","Portulaca grandiflora","Portulaca grandiflora",13508,2639,"Portulacaceae","","","PIP (UN)","","","","","","","",1,""
512,"Tamarix","chinensis","","","Lour.","","Lour.","","Tamarix chinensis Lour.","Tamarix chinensis Lour.","Tamarix chinensis Lour.","Tamarix chinensis","Tamarix chinensis",16521,2641,"Tamaricaceae","","","PIP (CAP)","","","","","","","",1,""
513,"Cornus","alba","","","L.","","L.","","Cornus alba L.","Cornus alba L.","Cornus alba L.","Cornus alba","Cornus alba",4677,2644,"Cornaceae","","","","","","","","","","1",1,""
514,"Cornus","controversa","","","Hemsl.","","Hemsl.","","Cornus controversa Hemsl.","Cornus controversa Hemsl.","Cornus controversa Hemsl.","Cornus controversa","Cornus controversa",4686,2646,"Cornaceae","","","","","","","","","","1",1,""
515,"Cornus","florida","","","L.","","L.","","Cornus florida L.","Cornus florida L.","Cornus florida L.","Cornus florida","Cornus florida",4701,2647,"Cornaceae","","","","","","","","","","",1,""
516,"Cornus","florida","f.","rubra","L.","(André) E.J.Palmer & Steyerm.","(André) E.J.Palmer & Steyerm.","","Cornus florida L. forma rubra (André) E. J. Palmer & Steyerm.","Cornus florida f. rubra (André) E.J.Palmer & Steyerm.","Cornus florida f. rubra (André) E.J.Palmer & Steyerm.","Cornus florida f. rubra","Cornus florida f. rubra",4696,2648,"Cornaceae","","","","","","","","","","",1,""
517,"Cornus","kousa","","","Bürger ex Hance","","Bürger ex Hance","","Cornus kousa Bürger ex Hance","Cornus kousa Bürger ex Hance","Cornus kousa Bürger ex Hance","Cornus kousa","Cornus kousa",4712,2649,"Cornaceae","","","","","","","1","","","1",1,""
518,"Cornus","kousa","subsp.","chinensis","Bürger ex Hance","(Osborn) Q.Y.Xiang","(Osborn) Q.Y.Xiang","","Cornus kousa Bürger ex Hance subsp. chinensis (Osborn) Q. Y. Xiang","Cornus kousa subsp. chinensis (Osborn) Q.Y.Xiang","Cornus kousa subsp. chinensis (Osborn) Q.Y.Xiang","Cornus kousa subsp. chinensis","Cornus kousa subsp. chinensis",4722,2650,"Cornaceae","","","","","","","","","","",1,""
519,"Cornus","officinalis","","","Siebold & Zucc.","","Siebold & Zucc.","","Cornus officinalis Siebold & Zucc.","Cornus officinalis Siebold & Zucc.","Cornus officinalis Siebold & Zucc.","Cornus officinalis","Cornus officinalis",4735,2652,"Cornaceae","","","","","","","","","","",1,""
520,"Deutzia","crenata","","","Siebold & Zucc.","","Siebold & Zucc.","","Deutzia crenata Siebold & Zucc.","Deutzia crenata Siebold & Zucc.","Deutzia crenata Siebold & Zucc.","Deutzia crenata","Deutzia crenata",5540,2654,"Hydrangeaceae","","","","","","","","","","",1,""
521,"Deutzia","crenata","f.","plena","Siebold & Zucc.","Schneid.","Schneid.","","Deutzia crenata Siebold & Zucc. forma plena Schneid.","Deutzia crenata f. plena Schneid.","Deutzia crenata f. plena Schneid.","Deutzia crenata f. plena","Deutzia crenata f. plena",5541,2655,"Hydrangeaceae","","","","","","","","","","",1,""
522,"Deutzia","scabra","","","Thunb.","","Thunb.","","Deutzia scabra Thunb.","Deutzia scabra Thunb.","Deutzia scabra Thunb.","Deutzia scabra","Deutzia scabra",5565,2662,"Hydrangeaceae","","","","","","","","","","",1,""
523,"Hydrangea","arborescens","","","L.","","L.","","Hydrangea arborescens L.","Hydrangea arborescens L.","Hydrangea arborescens L.","Hydrangea arborescens","Hydrangea arborescens",8737,2666,"Hydrangeaceae","","","","","","","","","","",1,""
524,"Hydrangea","macrophylla","var.","normalis","(Thunb.) Ser.","(E.H.Wilson) H.Hara","(E.H.Wilson) H.Hara","","Hydrangea macrophylla (Thunb.) Ser. var. normalis (E. H. Wilson) H. Hara","Hydrangea macrophylla var. normalis (E.H.Wilson) H.Hara","Hydrangea macrophylla var. normalis (E.H.Wilson) H.Hara","Hydrangea macrophylla var. normalis","Hydrangea macrophylla var. normalis",8779,2668,"Hydrangeaceae","","","","","","","","","","",1,""
525,"Hydrangea","macrophylla","f.","otaksa","(Thunb.) Ser.","(Siebold & Zucc.) E.H.Wilson","(Siebold & Zucc.) E.H.Wilson","","Hydrangea macrophylla (Thunb.) Ser. forma otaksa (Siebold & Zucc.) E. H. Wilson","Hydrangea macrophylla f. otaksa (Siebold & Zucc.) E.H.Wilson","Hydrangea macrophylla f. otaksa (Siebold & Zucc.) E.H.Wilson","Hydrangea macrophylla f. otaksa","Hydrangea macrophylla f. otaksa",8749,2669,"Hydrangeaceae","","","PIP (CAP)","","","","","","","",1,""
526,"Hydrangea","paniculata","","","Siebold","","Siebold","","Hydrangea paniculata Siebold","Hydrangea paniculata Siebold","Hydrangea paniculata Siebold","Hydrangea paniculata","Hydrangea paniculata",8790,2670,"Hydrangeaceae","","","","","","","","","","",1,""
527,"Philadelphus","incanus","","","Koehne","","Koehne","","Philadelphus incanus Koehne","Philadelphus incanus Koehne","Philadelphus incanus Koehne","Philadelphus incanus","Philadelphus incanus",12654,2677,"Hydrangeaceae","","","","","","","","","","",1,""
528,"Davidia","involucrata","","","Baill.","","Baill.","","Davidia involucrata Baill.","Davidia involucrata Baill.","Davidia involucrata Baill.","Davidia involucrata","Davidia involucrata",5405,2689,"Nyssaceae","","","","","","","","","","",1,""
529,"Actinidia","chinensis","var.","deliciosa","Planch.","(A.Chev.) A.Chev.","(A.Chev.) A.Chev.","","Actinidia chinensis Planch. var. deliciosa (A. Chev.) A. Chev.","Actinidia chinensis var. deliciosa (A.Chev.) A.Chev.","Actinidia chinensis var. deliciosa (A.Chev.) A.Chev.","Actinidia chinensis var. deliciosa","Actinidia chinensis var. deliciosa",20254,2693,"Actinidiaceae","","","PIP (CAP)","","","","","","","",1,""
530,"Impatiens","balsamina","","","L.","","L.","","Impatiens balsamina L.","Impatiens balsamina L.","Impatiens balsamina L.","Impatiens balsamina","Impatiens balsamina",9315,2699,"Balsaminaceae","","","PIP (CAP)","","","","","","","",1,""
531,"Diospyros","kaki","","","Thunb.","","Thunb.","","Diospyros kaki Thunb.","Diospyros kaki Thunb.","Diospyros kaki Thunb.","Diospyros kaki","Diospyros kaki",5799,2709,"Ebenaceae","","","PIP (CAP)","","","","","","","",1,""
532,"Diospyros","rhombifolia","","","Hemsl.","","Hemsl.","","Diospyros rhombifolia Hemsl.","Diospyros rhombifolia Hemsl.","Diospyros rhombifolia Hemsl.","Diospyros rhombifolia","Diospyros rhombifolia",5802,2711,"Ebenaceae","","","","","","","","","","",1,""
533,"Enkianthus","campanulatus","","","(Miq.) G.Nicholson","","(Miq.) G.Nicholson","","Enkianthus campanulatus (Miq.) G. Nicholson","Enkianthus campanulatus (Miq.) G.Nicholson","Enkianthus campanulatus (Miq.) G.Nicholson","Enkianthus campanulatus","Enkianthus campanulatus",6292,2718,"Ericaceae","","","","","","","","","","",1,""
534,"Pieris","japonica","","","D.Don ex G.Don","","D.Don ex G.Don","","Pieris japonica D. Don ex G. Don","Pieris japonica D.Don ex G.Don","Pieris japonica D.Don ex G.Don","Pieris japonica","Pieris japonica",12936,2732,"Ericaceae","","","","","","","","","","",1,""
535,"Rhododendron","indicum","","","(L.) Sweet","","(L.) Sweet","","Rhododendron indicum (L.) Sweet","Rhododendron indicum (L.) Sweet","Rhododendron indicum (L.) Sweet","Rhododendron indicum","Rhododendron indicum",14504,2744,"Ericaceae","","","","","","","","","","",1,""
536,"Rhododendron","japonicum","f.","flavum","C.K.Schneid.","(Miyoshi) Nakai","(Miyoshi) Nakai","","Rhododendron japonicum C. K. Schneid. forma flavum (Miyoshi) Nakai","Rhododendron japonicum f. flavum (Miyoshi) Nakai","Rhododendron japonicum f. flavum (Miyoshi) Nakai","Rhododendron japonicum f. flavum","Rhododendron japonicum f. flavum",14515,2745,"Ericaceae","","","","","","","","","","",1,""
537,"Rhododendron","yedoense","f.","poukhanense","Maxim. ex Regel","(H.Lév.) M.Sugim.","(H.Lév.) M.Sugim.","","Rhododendron yedoense Maxim. ex Regel forma poukhanense (H. Lév.) M. Sugim.","Rhododendron yedoense f. poukhanense (H.Lév.) M.Sugim.","Rhododendron yedoense f. poukhanense (H.Lév.) M.Sugim.","Rhododendron yedoense f. poukhanense","Rhododendron yedoense f. poukhanense",14705,2765,"Ericaceae","","","","","","","1","","","1",1,""
538,"Phlox","drummondii","","","Hook.","","Hook.","","Phlox drummondii Hook.","Phlox drummondii Hook.","Phlox drummondii Hook.","Phlox drummondii","Phlox drummondii",12714,2786,"Polemoniaceae","","","PIP (CAP)","","","","","","","",1,""
539,"Phlox","paniculata","","","L.","","L.","","Phlox paniculata L.","Phlox paniculata L.","Phlox paniculata L.","Phlox paniculata","Phlox paniculata",12729,2787,"Polemoniaceae","","","","","","","","","","",1,""
540,"Phlox","subulata","","","L.","","L.","","Phlox subulata L.","Phlox subulata L.","Phlox subulata L.","Phlox subulata","Phlox subulata",12748,2788,"Polemoniaceae","","","","","","","","","","",1,""
541,"Androsace","lehmanniana","","","Spreng.","","Spreng.","","Androsace lehmanniana Spreng.","Androsace lehmanniana Spreng.","Androsace lehmanniana Spreng.","Androsace lehmanniana","Androsace lehmanniana",1130,2795,"Primulaceae","","","","","","","","","","1",1,""
542,"Cyclamen","persicum","","","Mill.","","Mill.","","Cyclamen persicum Mill.","Cyclamen persicum Mill.","Cyclamen persicum Mill.","Cyclamen persicum","Cyclamen persicum",5181,2802,"Primulaceae","","","","","","","","","","",1,""
543,"Lysimachia","nummularia","","","L.","","L.","","Lysimachia nummularia L.","Lysimachia nummularia L.","Lysimachia nummularia L.","Lysimachia nummularia","Lysimachia nummularia",10862,2813,"Primulaceae","","","","","","","","","","",1,""
544,"Pterostyrax","hispidus","","","Siebold & Zucc.","","Siebold & Zucc.","","Pterostyrax hispidus Siebold & Zucc.","Pterostyrax hispidus Siebold & Zucc.","Pterostyrax hispidus Siebold & Zucc.","Pterostyrax hispidus","Pterostyrax hispidus",14034,2830,"Styracaceae","","","","","","","","","","",1,""
545,"Camellia","japonica","","","L.","","L.","","Camellia japonica L.","Camellia japonica L.","Camellia japonica L.","Camellia japonica","Camellia japonica",2846,2840,"Theaceae","","","","","1","","1","Ⅰ","","1",1,""
546,"Camellia","sasanqua","","","Thunb.","","Thunb.","","Camellia sasanqua Thunb.","Camellia sasanqua Thunb.","Camellia sasanqua Thunb.","Camellia sasanqua","Camellia sasanqua",2976,2842,"Theaceae","","","","","","","","","","",1,""
547,"Camellia","sinensis","","","(L.) Kuntze","","(L.) Kuntze","","Camellia sinensis (L.) Kuntze","Camellia sinensis (L.) Kuntze","Camellia sinensis (L.) Kuntze","Camellia sinensis","Camellia sinensis",2980,2843,"Theaceae","","","PIP (CAP)","","","","","","","",1,""
548,"Stewartia","koreana","","","Nakai ex Rehder","","Nakai ex Rehder","","Stewartia koreana Nakai ex Rehder","Stewartia koreana Nakai ex Rehder","Stewartia koreana Nakai ex Rehder","Stewartia koreana","Stewartia koreana",16325,2844,"Theaceae","","","","1","","","1","Ⅲ","","1",1,""
549,"Eucommia","ulmoides","","","Oliv.","","Oliv.","","Eucommia ulmoides Oliv.","Eucommia ulmoides Oliv.","Eucommia ulmoides Oliv.","Eucommia ulmoides","Eucommia ulmoides",6602,2845,"Eucommiaceae","","","","","","","","","","",1,""
550,"Aucuba","japonica","f.","variegata","Thunb.","(Dombrain) Rehder","(Dombrain) Rehder","","Aucuba japonica Thunb. forma variegata (Dombrain) Rehder","Aucuba japonica f. variegata (Dombrain) Rehder","Aucuba japonica f. variegata (Dombrain) Rehder","Aucuba japonica f. variegata","Aucuba japonica f. variegata",2039,2847,"Garryaceae","","","","","","","","","","",1,""
551,"Asclepias","curassavica","","","L.","","L.","","Asclepias curassavica L.","Asclepias curassavica L.","Asclepias curassavica L.","Asclepias curassavica","Asclepias curassavica",1665,2851,"Apocynaceae","","","","","","","","","","",1,""
552,"Catharanthus","roseus","","","(L.) G.Don","","(L.) G.Don","","Catharanthus roseus (L.) G. Don","Catharanthus roseus (L.) G.Don","Catharanthus roseus (L.) G.Don","Catharanthus roseus","Catharanthus roseus",3725,2852,"Apocynaceae","","","","","","","","","","",1,""
553,"Cynanchum","acuminatifolium","","","(Decne.) Hemsl.","","(Decne.) Hemsl.","","Cynanchum acuminatifolium (Decne.) Hemsl.","Cynanchum acuminatifolium (Decne.) Hemsl.","Cynanchum acuminatifolium (Decne.) Hemsl.","Cynanchum acuminatifolium","Cynanchum acuminatifolium",5215,2853,"Apocynaceae","","","","","","","","","","",1,""
554,"Cynanchum","auriculatum","","","Royle ex Wight","","Royle ex Wight","","Cynanchum auriculatum Royle ex Wight","Cynanchum auriculatum Royle ex Wight","Cynanchum auriculatum Royle ex Wight","Cynanchum auriculatum","Cynanchum auriculatum",17914,2859,"Apocynaceae","","","","","","","","","","",1,""
555,"Nerium","indicum","","","Mill.","","Mill.","","Nerium indicum Mill.","Nerium indicum Mill.","Nerium indicum Mill.","Nerium indicum","Nerium indicum",11793,2872,"Apocynaceae","","","PIP (CAP)","","","","","","","",1,""
556,"Nerium","indicum","f.","leucanthum","Mill.","Makino","Makino","","Nerium indicum Mill. forma leucanthum Makino","Nerium indicum f. leucanthum Makino","Nerium indicum f. leucanthum Makino","Nerium indicum f. leucanthum","Nerium indicum f. leucanthum",11790,2873,"Apocynaceae","","","","","","","","","","",1,""
557,"Nerium","indicum","f.","plenum","Mill.","Makino","Makino","","Nerium indicum Mill. forma plenum Makino","Nerium indicum f. plenum Makino","Nerium indicum f. plenum Makino","Nerium indicum f. plenum","Nerium indicum f. plenum",11792,2874,"Apocynaceae","","","","","","","","","","",1,""
558,"Vinca","minor","","","L.","","L.","","Vinca minor L.","Vinca minor L.","Vinca minor L.","Vinca minor","Vinca minor",17498,2879,"Apocynaceae","","","PIP (CAP)","","","","","","","",1,""
559,"Galium","tricornutum","","","Dandy","","Dandy","","Galium tricornutum Dandy","Galium tricornutum Dandy","Galium tricornutum Dandy","Galium tricornutum","Galium tricornutum",20230,2945,"Rubiaceae","","","PIP (UN)","","","","","","","",1,""
560,"Gardenia","jasminoides","","","J.Ellis","","J.Ellis","","Gardenia jasminoides J. Ellis","Gardenia jasminoides J.Ellis","Gardenia jasminoides J.Ellis","Gardenia jasminoides","Gardenia jasminoides",7258,2955,"Rubiaceae","","","","","","","","","","",1,""
561,"Gardenia","jasminoides","var.","radicans","J.Ellis","(Thunb.) Makino","(Thunb.) Makino","","Gardenia jasminoides J. Ellis var. radicans (Thunb.) Makino","Gardenia jasminoides var. radicans (Thunb.) Makino","Gardenia jasminoides var. radicans (Thunb.) Makino","Gardenia jasminoides var. radicans","Gardenia jasminoides var. radicans",7259,2956,"Rubiaceae","","","","","","","","","","",1,""
562,"Serissa","japonica","","","(Thunb.) Thunb.","","(Thunb.) Thunb.","","Serissa japonica (Thunb.) Thunb.","Serissa japonica (Thunb.) Thunb.","Serissa japonica (Thunb.) Thunb.","Serissa japonica","Serissa japonica",15874,2980,"Rubiaceae","","","","","","","","","","",1,""
563,"Convolvulus","arvensis","","","L.","","L.","","Convolvulus arvensis L.","Convolvulus arvensis L.","Convolvulus arvensis L.","Convolvulus arvensis","Convolvulus arvensis",4598,2989,"Convolvulaceae","","","IAP (NP)","","","","","","","",1,"1"
564,"Ipomoea","batatas","","","(L.) Lam.","","(L.) Lam.","","Ipomoea batatas (L.) Lam.","Ipomoea batatas (L.) Lam.","Ipomoea batatas (L.) Lam.","Ipomoea batatas","Ipomoea batatas",9374,2995,"Convolvulaceae","","","","","","","","","","",1,""
565,"Jacquemontia","tamnifolia","","","(L.) Griseb.","","(L.) Griseb.","","Jacquemontia tamnifolia (L.) Griseb.","Jacquemontia tamnifolia (L.) Griseb.","Jacquemontia tamnifolia (L.) Griseb.","Jacquemontia tamnifolia","Jacquemontia tamnifolia",9668,3002,"Convolvulaceae","","","PIP (UN)","","","","","","","",1,"1"
566,"Pharbitis","nil","","","(L.) Choisy","","(L.) Choisy","","Pharbitis nil (L.) Choisy","Pharbitis nil (L.) Choisy","Pharbitis nil (L.) Choisy","Pharbitis nil","Pharbitis nil",12628,3003,"Convolvulaceae","","","IAP (NP)","","","","","","","",1,"1"
567,"Quamoclit","pennata","","","(Desr.) Bojer","","(Desr.) Bojer","","Quamoclit pennata (Desr.) Bojer","Quamoclit pennata (Desr.) Bojer","Quamoclit pennata (Desr.) Bojer","Quamoclit pennata","Quamoclit pennata",14184,3005,"Convolvulaceae","","","PIP (CAP)","","","","","","","",1,""
