Code_No,Num,Family,TaxonName,EndangeredSpecies,RarePlants,ExoticPlants,KoreanEndemicPlants,ClimateSensitiveBiologicalIndicatorSpecies,KoreanRedListOfThreatenedSpecies,BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer,FloristicTargetSpecies,PlantsAdaptableToClimateChange,Native_NABI,Cultivated_NABI,Naturalized_NABI
2158,536,Berberidaceae,Berberis thunbergii DC.,,,,,,,,,,,1,
6337,538,Berberidaceae,Epimedium koreanum Nakai,cancel,VU,,,,LC,1,Ⅳ,Northern,1,1,
11191,541,Berberidaceae,Mahonia aquifolium (Pursh) Nutt.,,,,,,,,,,,1,
11195,542,Berberidaceae,Mahonia fortunei (Lindl.) Fedde,,,,,,,,,,,1,
11196,543,Berberidaceae,Mahonia japonica (Thunb.) DC.,,,IAP (CAP),,,,,,,,1,1
11198,544,Berberidaceae,Mahonia lomariifolia Takeda,,,,,,,,,,,1,
11666,545,Berberidaceae,Nandina domestica Thunb.,,,,,,,,,,,1,
5692,594,Papaveraceae,Dicentra spectabilis (L.) Lem.,,,,,,,1,Ⅲ,,1,1,
6570,595,Papaveraceae,Eschscholzia californica Cham.,,,IAP (CAP),,,,,,,,1,1
12266,601,Papaveraceae,Papaver hybridum L.,,,PIP (UN),,,,,,,,1,1
12269,602,Papaveraceae,Papaver nudicaule L.,,,,,,,,,,,1,
12293,607,Papaveraceae,Papaver setigerum DC.,,,PIP (UN),,,,,,,,1,1
12294,608,Papaveraceae,Papaver somniferum L.,,,,,,,,,,,1,
1163,647,Ranunculaceae,Anemone hupehensis (Lemoine) Lemoine,,,,,,,,,,,1,
1166,648,Ranunculaceae,Anemone hupehensis (Lemoine) Lemoine var. japonica (Thunb.) Bowles & Stearn,,,,,,,,,,,1,
1310,660,Ranunculaceae,Aquilegia buergeriana Siebold & Zucc. var. oxysepala (Trautv. & C. A. Mey.) Kitam.,,,,,,,1,Ⅲ,,1,1,
1325,662,Ranunculaceae,Aquilegia flabellata Siebold & Zucc.,,,,,,,,,,1,1,
2697,665,Ranunculaceae,Caltha palustris L.,,,,,,,1,Ⅱ,,1,1,
4313,678,Ranunculaceae,Clematis chiisanensis Nakai var. carunculosa Rehder,,,,,,,,,,,1,
4328,680,Ranunculaceae,Clematis florida Thunb.,,,,,,,,,,,1,
5420,708,Ranunculaceae,Delphinium ajacis L.,,,PIP (UN),,,,,,,,1,
