Page,Genus,SpecificEpithet,InfraspecificRank,InfraspecificName,Authority
304,Brassica,oleracea,var.,capitata,L.
304,Brassica,oleracea,var.,botrytis,L.
304,Brassica,oleracea,var.,italica,Plenck.
304,Brassica,caulorapa,,,Pasq.
305,Brassica,napus,,,L.
305,Brassica,napobrassica,,,Mill.
305,Brassica,rapa,,,L.
305,Brassica,juncea,,,Coss.
305,Brassica,pekinensis,,,Rupr.
305,Brassica,chinensis,,,L.
306,Brassica,parachinensis,,,Bailey
306,Brassica,nigra,,,Koch.
306,Brassica,alba,,,Rabenh.
306,Barbarea,vulgaris,,,R.Br.
306,Barbarea,verna,,,Aschers.
306,Cardamine,pratensis,,,L.
307,Arabis,albida,,,Stev.
307,Arabis,alpina,,,L.
307,Cheiranthus,cheiri,,,L.
307,Cheiranthus,allionii,,,Hort.
307,Erysimum,perofskianum,,,Fisch.& Mey
307,Erysimum,asperum,,,DC.
308,Mathiola,bicornis,,,DC.
308,Mathiola,incana,,,R.Br.
308,Mathiola,incana,var.,annua,Voss.
308,Hesperis,matronalis,,,L.
308,Malcomia,maritima,,,R.Br.
309,Schizopetalon,walkeri,,,Sims.
309,Roripa,nasturtium-aquaticum,,,Hayek.
309,Eruca,sativa,,,Mill.
309,Aubrietia,deltoidea,,,DC.
310,Aubrietia,deltoidea,var.,leichtlini,Nichols.
310,Aubrietia,deltoidea,var.,graeca,Nichols.
310,Aubrietia,deltoidea,var.,olympica,Nichols.
310,Aubrietia,deltoidea,var.,campbelli,Nichols.
310,Aubrietia,deltoidea,var.,purpurea,Nichols.
310,Draba,olympica,,,Sibth.
310,Draba,fladnizensis,,,Wulf.
310,Lunaria,annua,,,L.
310,Lunaria,rediviva,,,L.
310,Ricotia,lunaria,,,DC.
311,Armoracia,rusticana,,,"Gaertn., Mey.& Scherb."
311,Cochlearia,officinalis,,,L.
311,Alyssum,saxatile,,,L.
311,Lobularia,maritima,,,Desv.
312,Lepidium,sativum,,,L.
312,Aethionema,grandiflorum,,,Boiss.& Hohen.
312,Aethionema,coridifolium,,,DC.
312,Iberis,amara,,,L.
313,Iberis,umbellata,,,L.
313,Iberis,gibraltarica,,,L.
313,Iberis,sempervirens,,,L.
313,Ionopsidium,acaule,,,Reichb.
313,Isatis,tinctoria,,,L.
313,Isatis,glauca,,,Auch.
314,Peltaria,alliacea,,,L.
314,Raphanus,sativus,,,L.
314,Raphanus,sativus,var.,caudatus,Alef.
314,Raphanus,sativus,var.,longipinnatus,Bailey
314,Crambe,maritima,,,L.
314,Crambe,cordifolia,,,Stev.
315,Reseda,odorata,,,L.
315,Reseda,alba,,,L.
315,Moringa,oleifera,,,Lam.
316,Nepenthes,phyllamphora,,,Willd.
316,Nepenthes,hookeriana,,,Lindl.
317,Nepenthes,atrosanguinea,,,Mast.
317,Nepenthes,courtii,,,Veitch.
317,Nepenthes,dickinsoniana,,,Lindsay
317,Nepenthes,dominii,,,Veitch.
317,Nepenthes,edinensis,,,Lindsay
317,Nepenthes,henryana,,,Williams
317,Nepenthes,intermedia,,,Veitch.
317,Nepenthes,mastersiana,,,Veitch.
317,Nepenthes,patersonii,,,Hort.
317,Nepenthes,sedeni,,,Mast.
318,Crassula,qudrifida,,,Baker
318,Crassula,portulacea,,,Lam.
318,Rochea,coccinea,,,DC.
319,Sedum,sempervivoides,,,Fisch.
319,Sedum,caeruleum,,,Vahl.
319,Sedum,dasyphyllum,,,L.
319,Sedum,lydium,,,Boiss.
319,Sedum,album,,,L.
319,Sedum,anglicum,,,Huds.
320,Sedum,pulchellum,,,Michx.
320,Sedum,spurium,,,Bieb.
320,Sedum,stoloniferum,,,Gmel.
320,Sedum,sarmentosum,,,Bunge.
320,Sedum,stahlii,,,Solms.
320,Sedum,acre,,,L.
320,Sedum,sexangulare,,,L.
320,Sedum,reflexum,,,L.
320,Sedum,rupestre,,,L.
320,Sedum,anacampseros,,,L.
320,Sedum,sieboldii,,,Sweet.
321,Sedum,spectabile,,,Boreau.
321,Sedum,alboroseum,,,Baker
321,Sedum,maximum,,,Suter.
321,Sedum,telephium,,,L.
321,Sedum,hybridum,,,L.
321,Sedum,middendorffianum,,,Maxim.
321,Sedum,kamtschaticum,,,Fisch.& Mey
321,Sedum,aizoon,,,L.
322,Sedum,roseum,,,Scop.
322,Sempervivum,arachnoideum,,,L.
322,Sempervivum,assimile,,,Schott.
322,Sempervivum,flagelliforme,,,Fisch.
322,Sempervivum,tectorum,,,L.
322,Sempervivum,greenii,,,Baker
323,Sempervivum,arvernense,,,Lecq.& Lam.
323,Sempervivum,funckii,,,F.Braun
323,Sempervivum,arenarium,,,Koch.
323,Sempervivum,soboliferum,,,Sims.
323,Sempervivum,spathulatum,,,Hornm.
323,Cotyledon,orbiculata,,,L.
324,Echeveria,secunda,,,Booth.
324,Echeveria,agavoides,,,Lem.
324,Echeveria,gibbiflora,,,DC.
324,Bryophyllum,cruentum,,,Baker
324,Bryophyllum,pinnatum,,,Kurz.
325,Kalanchoë,carnea,,,Mast.
326,Saxifraga,samentosa,,,L.
326,Saxifraga,aizoon,,,Jacq.
326,Saxifraga,lingulata,,,Bell.
326,Saxifraga,cuneifolia,,,L.
326,Saxifraga,umbrosa,,,L.
326,Bergenia,cordifolia,,,Sternb.
326,Bergenia,crassifolia,,,Fritsch
326,Bergenia,ligulata,,,Engl.
327,Astilbe,japonica,,,Gray.
327,Astilbe,astilboides,,,Lemoine
327,Astilbe,lemoinei,,,Lemoine
327,Astilbe,thunbergii,,,Miq.
327,Astilbe,davidii,,,Henry
327,Astilbe,rubella,,,Lemoine
327,Astilbe,arendsii,,,Arends
327,Heuchera,sanguinea,,,Engelm.
328,Heuchera,brizoides,,,Hort.
328,Hydrangea,paniculata,,,Sieb.
328,Hydrangea,paniculata,var.,grandiflora,Sieb.
328,Hydrangea,opuloides,,,Koch.
328,Hydrangea,radiata,,,Walt.
328,Hydrangea,cinera,,,Small.
328,Hydrangea,arborescens,,,L.
328,Hydrangea,quercifolia,,,Bartram.
328,Hydrangea,petiolaris,,,Sieb. & Zucc.
329,Schizophragma,hydrangeoides,,,Sieb. & Zucc.
329,Schizophragma,integrifolium,,,Oliver
329,Deutzia,gracilis,,,Sieb. & Zucc.
329,Deutzia,scabra,,,Thunb.
329,Deutzia,magnifica,,,Rehd.
330,Deutzia,parviflora,,,Bunge.
330,Deutzia,lemoinei,,,Hort.
330,Deutzia,purpurascens,,,Rehd.
330,Deutzia,rosea,,,Rehd.
331,Philadelphus,pubescens,,,Loisl.
331,Philadelphus,verrucosus,,,Schrad.
331,Philadelphus,karwinskyanus,,,Koehne.
331,Philadelphus,gordonianus,,,Lindl.
331,Philadelphus,gordonianus,var.,colombianus,Rehd.
331,Philadelphus,lewisii,,,Pursh.
331,Philadelphus,microphyllus,,,Gray.
331,Philadelphus,inodorus,,,L.
331,Philadelphus,inodorus,var.,grandiflorus,Gray.
332,Philadelphus,laxus,,,Schrad.
332,Philadelphus,laxus,var.,strigosus,Rehd.
332,Philadelphus,falconeri,,,Sarg.
332,Philadelphus,coronarius,,,L.
332,Philadelphus,coronarius,var.,nanus,Schrad.
332,Philadelphus,ceyheri,,,Schrad.
332,Philadelphus,lemoinei,,,Lemoine
332,Philadelphus,cymosus,,,Rehd.
332,Philadelphus,polyanthus,,,Rehd.
332,Philadelphus,virginalis,,,Rehd.
333,Philadelphus,purpureo-maculatus,,,Lemoine
333,Carpenteria,californica,,,Torr.
333,Escallonia,punctata,,,DC.
333,Escallonia,macrantha,,,Hook.& Arn.
334,Escallonia,montevidensis,,,DC.
334,Escallonia,floribunda,,,HBK.
334,Itea,virginica,,,L.
334,Itea,ilicifolia,,,Oliver
335,Ribes,nigrum,,,L.
335,Ribes,sativum,,,Syme
335,Ribes,rubrum,,,L.
335,Ribes,triste,,,Pall.
335,Ribes,alpinum,,,L.
335,Ribes,odoratum,,,Wendl.
335,Ribes,aureum,,,Pursh.
336,Ribes,sanguineum,,,Pursh.
336,Ribes,gordonianum,,,Lem.
336,Ribes,malvaceum,,,Sm.
336,Ribes,hirtellum,,,Michx.
336,Ribes,oxyacanthoides,,,
336,Ribes,grossularia,,,L.
336,Ribes,grossularia,var.,uva-crispa,Sm.
336,Ribes,hesperium,,,McClatchie
336,Ribes,speciosum,,,Pursh.
337,Pittosporum,crassifolium,,,A.Cunn.
337,Pittosporum,ralphii,,,Kirk.
337,Pittosporum,tenuifolium,,,Gaertn.
337,Pittosporum,tobira,,,Ait.
337,Pittosporum,virdiflorum,,,Sims.
337,Pittosporum,phillyraeoides ,,,DC.
337,Pittosporum,rhombifolium,,,A.Cunn.
338,Pittosporum,undulatum,,,Vent.
338,Pittosporum,eugenioides,,,A.Cunn.
338,Sollya,heterophylla,,,Lindl.
339,Hamamelis,japonica,,,Sieb. & Zucc.
339,Hamamelis,japonica,var.,zuccariniana,Arb.Kew.
339,Hamamelis,mollis,,,Oliver
339,Corylopsis,spicata,,,Sieb. & Zucc.
339,Platanus,occidentalis,,,L.
339,Platanus,orientalis,,,L.
340,Platanus,acerifolia,,,Willd.
343,Rosa,multiflora,,,Thunb.
343,Rosa,cathayensis,,,Bailey
343,Rosa,barierana,,,Rehd.
343,Rosa,polyantha,,,Hort.
343,Rosa,wichuraiana,,,Crép
344,Rosa,sempervirens,,,L.
344,Rosa,arvensis,,,Huds.
344,Rosa,anemoneflora,,,Fort.
344,Rosa,setigera,,,Michx.
344,Rosa,moschata,,,Mill.
344,Rosa,brunonii,,,Lindl.
344,Rosa,odorata,,,Sweet.
344,Rosa,odorata,var.,gigantea,Rehd.& Wils.
345,Rosa,chinensis,,,Jacq.
345,Rosa,chinensis,var.,minima,Rehd.
345,Rosa,chinensis,var.,viridiflora,Dipp.
345,Rosa,chinensis,var.,manetti,Dipp.
345,Rosa,noisettiana,,,Thory
345,Rosa,borboniana,,,Desp.
345,Rosa,dilecta,,,Rehd.
345,Rosa,gallica,,,L.
345,Rosa,gallica,var.,versicolor,Thory
345,Rosa,centifolia,,,L.
345,Rosa,centifolia,var.,muscosa,Sér.
345,Rosa,damascens,,,Mill.
346,Rosa,alba,,,L.
346,Rosa,glauca,,,Pourr.
346,Rosa,canina,,,L.
346,Rosa,pomifera,,,Herrm.
346,Rosa,eglanteria,,,L.
346,Rosa,penzanceana,,,Rehd.
346,Rosa,carolina,,,L.
346,Rosa,virginiana,,,Mill.
346,Rosa,nitida,,,Willd.
346,Rosa,palustris,,,Marsh.
347,Rosa,cinnamomea,,,L.
347,Rosa,rugosa,,,Thunb.
347,Rosa,bruantii,,,Rehd.
347,Rosa,arnoldiana,,,Sarg.
347,Rosa,foetida,,,Herrm.
347,Rosa,foetida,var.,bicolor,Willm.
347,Rosa,foetida,var.,harisonii,Hort.
347,Rosa,spinosissima,,,L.
347,Rosa,spinosissima,var.,altaica,Rehd.
347,Rosa,hugonis,,,Hemsl.
347,Rosa,xanthina,,,Lindl.
348,Rosa,bracteata,,,Wendl.
348,Rosa,laevigata,,,Michx.
348,Rosa,anemonoides,,,Rehd.
348,Rosa,banksiae,,,R.Br.
348,Alchemilla,vulgaris,,,L.
348,Sanguisorba,minor,,,Scop.
349,Kerria,japonica,,,DC.
349,Rhodotypos,kerrioides,,,Sieb. & Zucc.
349,Holodiscus,discolor,,,Maxim.
349,Holodiscus,discolor,var.,ariaefolius,Aschers.& Graebn.
350,Filipendula,hexapetala,,,Gilib.
350,Filipendula,ulmaria,,,Maxim.
350,Filipendula,rubra,,,Rob.
350,Filipendula,purpurea,,,Maxim.
350,Geum,chiloense,,,Balb.
351,Potentilla,fruticosa,,,L.
351,Potentilla,fruticosa,var.,veitchii,Bean.
351,Potentilla,fruticosa,var.,vilmoriniana,Bean.
351,Potentilla,grandiflora,,,L.
351,Potentilla,pyrenaica,,,Ram.
351,Potentilla,argyrophylla,,,Wall.
351,Potentilla,atrosanguinea,,,Wall.
351,Potentilla,nepalensis,,,Hook.
351,Fragaria,vesca,,,L.
352,Fragaria,moschata,,,Duchesne
352,Fragaria,chiloensis,,,Duchesne
352,Fragaria,chiloensis,var.,ananassa,Bailey
352,Fragaria,virginiana,,,Duchesne
352,Duchesnea,indica,,,Focke
354,Rubus,xanthocarpus,,,Bur.& Franch.
354,Rubus,deliciosus,,,Torr.
354,Rubus,odoratus,,,L.
354,Rubus,odoratus,var.,albidus,Bailey
354,Rubus,odoratus,var.,columbianus,Millsp.
354,Rubus,parviflorus,,,Nutt.
354,Rubus,crataegifolius,,,Bunge.
354,Rubus,palmatus,,,Thunb.
354,Rubus,spectabilis,,,Pursh.
354,Rubus,ellipticus,,,Sm.
354,Rubus,phoenicolasius,,,Maxim.
354,Rubus,occidentalis,,,L.
355,Rubus,occidentalis,var.,pallidus,Bailey
355,Rubus,leucodermis,,,Dougl.
355,Rubus,idaeus,,,L.
355,Rubus,idaeus,var.,strigosus,Maxim.
355,Rubus,neglectus,,,Peck.
355,Rubus,illecebrosus,,,Focke
355,Rubus,rosaefolius,,,Sm.
355,Rubus,rosaefolius,var.,coronarius,Sims.
355,Rubus,probus,,,Bailey
355,Rubus,caesius,,,L.
356,Rubus,ursinus,,,Cham.& Schlecht.
356,Rubus,vitifolius,,,Cham.& Schlecht.
356,Rubus,loganobaccus,,,Bailey
356,Rubus,macropetalus,,,Dougl.
356,Rubus,velox,,,Bailey
356,Rubus,flagellaris,,,Willd.
356,Rubus,flagellaris,var.,invisus,Bailey
357,Rubus,flagellaris,var.,michiganensis,Bailey
357,Rubus,trivialis,,,Michx.
357,Rubus,allegheniensis,,,Porter.
357,Rubus,alumnus,,,Bailey
357,Rubus,argutus,,,Link.
357,Rubus,frondosus,,,Bigel.
357,Rubus,recurvans,,,Blanchard
357,Rubus,laciniatus,,,Willd.
358,Rubus,macrophyllus,var.,amplificatus,Lees
358,Rubus,procerus,,,P.J.Muell.
358,Rubus,ulmifolius,var.,inermis,Focke
358,Exochorda,racemosa,,,Rehd.
358,Exochorda,giraldii,,,Hesse
358,Exochorda,korolkowi,,,Lav.
359,Spiraea,hypericifolia,,,L.
359,Spiraea,thunbergii,,,Sieb.
359,Spiraea,prunifolia,,,Sieb. & Zucc.
359,Spiraea,crenata,,,L.
359,Spiraea,multiflora,,,Zabel
360,Spiraea,arguta,,,Zabel
360,Spiraea,chamaedryfolia,,,L.
360,Spiraea,cantoniensis,,,Lour.
360,Spiraea,trilobata,,,L.
360,Spiraea,vanhouttei,,,Zabel
360,Spiraea,japonica,,,L.
360,Spiraea,albiflora,,,Miq.
360,Spiraea,bumalda,,,Burv.
360,Spiraea,conspicua,,,Zabel
360,Spiraea,salicifolia,,,L.
360,Spiraea,latifolia,,,Borkh.
361,Spiraea,alba,,,Dur.
361,Spiraea,billardii,,,Herincq.
361,Spiraea,douglasii,,,Hook.
361,Spiraea,tomentosa,,,L.
361,Sibiraea,laevigata,,,Maxim.
361,Neillia,sinensis,,,Oliv.
361,Neillia,thrysiflora,,,D.Don
362,Stephanandra,incisa,,,Zabel
362,Stephanandra,tanakae,,,Franch. & Sav.
362,Physocarpus,opulifolius,,,Maxim.
362,Aruncus,sylvester,,,Kostl.
362,Gillenia,trifoliata,,,Moench.
362,Sorbaria,sorbifolia,,,A.Br.
365,Prunus,spinosa,,,L.
365,Prunus,cerasifera,,,Ehrh.
366,Prunus,cerasifera,var.,pissardi,Koehne.
366,Prunus,domestica,,,
366,Prunus,domestica,var.,insititia,Bailey
366,Prunus,salicina,,,Lindl.
366,Prunus,simonii,,,Carr.
366,Prunus,subcordata,,,Benth.
366,Prunus,subcordata,var.,kellogii,Lem.
366,Prunus,maritima,,,Wang.
366,Prunus,americana,,,Marsh.
367,Prunus,americana,var.,lanata,Sudw.
367,Prunus,nigra,,,Ait.
367,Prunus,orthosepala,,,Koehne.
367,Prunus,angustifolia,,,Marsh.
367,Prunus,angustifolia,var.,wantsoni,Waugh
367,Prunus,angustifolia,var.,varians,Wight & Hedr.
367,Prunus,hortulana,,,Bailey
367,Prunus,hortulana,var.,mineri,Bailey
367,Prunus,munsoniana,,,Wight & Hedr.
367,Prunus,dasycarpa,,,Ehrh.
368,Prunus,armeniaca,,,L.
368,Prunus,mume,,,Sieb. & Zucc.
368,Prunus,triloba,,,Lindl.
368,Prunus,arnoldiana,,,Rehd.
368,Prunus,nana,,,Stokes.
368,Prunus,communis,,,Fritsch
368,Prunus,persica,,,Sieb. & Zucc.
369,Prunus,persica,var.,nucioersica,Schneid.
369,Prunus,persica,var.,platycarpa,Bailey
369,Prunus,davidiana,,,Franch.
369,Prunus,tomentosa,,,Thunb.
369,Prunus,japonica,,,Thunb.
369,Prunus,glandulosa,,,Thunb.
369,Prunus,besseyi,,,Bailey
369,Prunus,pumila,,,L.
369,Prunus,fruticosa,,,Pall.
370,Prunus,cerasus,,,L.
370,Prunus,cerasus,var.,semperflorens,Loud.
370,Prunus,avium,,,L.
370,Prunus,avium,var.,juliana,Bailey
370,Prunus,avium,var.,duracina,Bailey
370,Prunus,avium,var.,regalis,Bailey
370,Prunus,mahaleb,,,L.
370,Prunus,pseudo-cerasus,,,Lindl.
370,Prunus,subhirtella,,,Miq.
371,Prunus,subhirtella,var.,ascendens,Wils.
371,Prunus,pendula,,,Tanaka
371,Prunus,serrulata,,,Lindl.
371,Prunus,serrulata,var.,sachalinensis,Makino
371,Prunus,lannesiana,,,Wils.
371,Prunus,sieboldi,,,Wittm.
371,Prunus,yedoensis,,,Mats.
371,Prunus,serotina,,,Ehrh.
371,Prunus,padus,,,L.
372,Prunus,virginiana,,,L.
372,Prunus,lusitanica,,,L.
372,Prunus,laurocerasus,,,L.
372,Prunus,caroliniana,,,Ait.
372,Prunus,ilicifolia,,,Walp.
372,Prunus,lyoni,,,Sarg.
373,Cotoneaster,horizontalis,,,Decne.
373,Cotoneaster,adpressa,,,Boiss.
373,Cotoneaster,simonsii,,,Baker
373,Cotoneaster,divaricata,,,Rehd.& Wils.
373,Cotoneaster,acuminata,,,Lindl.
373,Cotoneaster,integerrima,,,Medic.
373,Cotoneaster,tomentosa,,,Lindl.
373,Cotoneaster,dielsiana,,,Pritz.
373,Cotoneaster,francheti,,,Bois.
374,Cotoneaster,foveolata,,,Rehd.& Wils.
374,Cotoneaster,rotundifolia,,,Wall.
374,Cotoneaster,rotundifolia,var.,lanata,Schneid.
374,Cotoneaster,microphylla,,,Wall.
374,Cotoneaster,racemiflora,,,Koch.
374,Cotoneaster,pannosa,,,Franch.
374,Cotoneaster,frigida,,,Wall.
374,Pyracantha,coccinea,,,Roem.
374,Pyracantha,coccinea,var.,lalandi,Dipp.
374,Pyracantha,crenulata,,,Roem.
374,Pyracantha,angustifolia,,,Schneid.
375,Osteomeles,anthyllidifolia,,,Lindl.
375,Osteomeles,schwerinae,,,Schneid.
375,Crataegus,crusgalli,,,L.
375,Crataegus,carrierei,,,Vauv.
375,Crataegus,phaenopyrum,,,Medic.
376,Crataegus,oxycantha,,,L.
376,Crataegus,monogyna,,,Jacq.
376,Crataegus,azarolus,,,L.
376,Crataegus,pinnatifida,,,Bunge.
376,Crataegus,pinnatifida,var.,major,N.E.Br.
376,Mespilus,germanica,,,L.
376,Cydonia,oblonga,,,Mill.
377,Chaenomeles,lagenaria,,,Koidz.
377,Chaenomeles,lagenaria,var.,cathayensis,Rehd.
377,Chaenomeles,japonica,,,Lindl.
377,Chaenomeles,japonica,var.,alpina,Schneid.
377,Chaenomeles,superba,,,Rehd.
377,Chaenomeles,sinensis,,,Koehne.
378,Raphiolepis,indica,,,Lindl.
378,Raphiolepis,umbellata,,,Schneid.
378,Raphiolepis,delacourii,,,André
378,Amelanchier,rotundifolia,,,Dum.-Cours.
378,Amelanchier,alnifolia,,,Nutt.
378,Amelanchier,oblongifolia,,,Roemer.
379,Amelanchier,canadensis,,,Medic.
379,Amelanchier,laevis,,,Wiegand.
379,Eriobotrya,japonica,,,Lindl.
379,Photinia,serrulata,,,Lindl.
379,Photinia,villosa,,,DC.
380,Heteromeles,arbutifolia,,,Roem.
380,Stranvaesia,davidiana,,,Decne.
380,Stranvaesia,davidiana,var.,undulata,Rehd.
380,Sorbus,aucuparia,,,L.
380,Sorbus,americana,,,Marsh.
381,Sorbus,domestica,,,L.
381,Sorbus,hybrida,,,L.
381,Sorbus,aria,,,Crantz.
381,Sorbus,torminalis,,,Crantz.
381,Aronia,arbutifolia,,,Ell.
381,Aronia,floribunda,,,Spach.
381,Aronia,melanocarpa,,,Spach.
383,Pyrus,communis,,,L.
383,Pyrus,nivalis,,,Jacq.
383,Pyrus,serotina,var.,culta,Rehd.
383,Pyrus,malus,,,L.
383,Pyrus,malus,var.,paradisiaca,L.
383,Pyrus,malus,var.,apetala,Aschers.& Graebn.
383,Pyrus,malus,var.,niedwetzkyana,Aschers.& Graebn.
383,Pyrus,ioensis,,,Bailey
383,Pyrus,soulardi,,,Bailey
384,Pyrus,spectabilis,,,Ait.
384,Pyrus,micromalus,,,Bailey
384,Pyrus,prunifolia,,,Willd.
384,Pyrus,prunifolia,var.,robusta,Bailey
384,Pyrus,rinki,,,Bailey
384,Pyrus,angustifolia,,,Ait.
384,Pyrus,coronaria,,,L.
384,Pyrus,halliana,,,Voss.
384,Pyrus,halliana,var.,parkamnii,Bailey
385,Pyrus,baccata,,,L.
385,Pyrus,pulcherrima,,,Aschers.& Graebn.
385,Pyrus,pulcherrima,var.,atrosanguinea,Bean.
385,Pyrus,pulcherrima,var.,scheideckeri,Bailey
385,Pyrus,pulcherrima,,arnoldiana,Bailey
385,Pyrus,zumi,,,Mats.
385,Pyrus,sargenti,,,Bean.
385,Pyrus,tonigoides,,,Osborn
386,Pyrus,sieboldi,,,Regel.
386,Pyrus,fusca,,,Raf.
386,Pyrus,dawsoniana,,,Bailey
390,Pisum,sativum,,,L.
391,Pisum,sativum,var.,humile,Poir.
391,Pisum,sativum,var.,macrocarpon,Ser.
391,Pisum,sativum,var.,arvense,Poir.
391,Lens,esculenta,,,Moench.
391,Vicia,faba,,,L.
391,Vicia,oroboides,,,Wulf.
392,Vicia,ervilia,,,Willd.
392,Vicia,narbonensis,,,L.
392,Vicia,sativa,,,L.
392,Vicia,angustifolia,,,L.
392,Vicia,cracca,,,L.
392,Vicia,atropurpurea,,,Desf.
392,Vicia,villosa,,,Roth.
393,Lathyrus,sativus,,,L.
393,Lathyrus,grandiflorus,,,Sibth.& Sm.
393,Lathyrus,odoratus,,,L.
393,Lathyrus,tingitanus,,,L.
393,Lathyrus,latifolius,,,L.
393,Lathyrus,sylvestris,,,L.
393,Lathyrus,rotundifolius,,,Willd.
393,Lathyrus,splendens,,,Kellogg.
394,Lathyrus,vernus,,,Bernh.
394,Lathyrus,niger,,,Bernh.
394,Cicer,arietinum,,,L.
394,Abrus,precatorius,,,L.
394,Arachis,hypogaea,,,L.
395,Phaseolus,metcalfei,,,Woot.& Standl.
395,Phaseolus,acutifolius,var.,latifolius,Freem.
396,Phaseolus,vulgaris,,,L.
396,Phaseolus,vulgaris,var.,humilis,Alef.
396,Phaseolus,coccineus,,,L.
396,Phaseolus,coccineus,var.,rubronanus,Bailey
396,Phaseolus,coccineus,var.,albus,
396,Phaseolus,coccineus,var.,albonanus,Bailey
396,Phaseolus,lunatus,,,L.
396,Phaseolus,lunatus,var.,lunonanus,Bailey
396,Phaseolus,lunatus,var.,salicis,Bailey
396,Phaseolus,limensis,,,Macf.
396,Phaseolus,limensis,var.,limenanus,Bailey
396,Phaseolus,mungo,,,L.
396,Phaseolus,aureus,,,Roxb.
396,Phaseolus,angularis,,,Wight.
397,Phaseolus,calcaratus,,,Roxb.
397,Phaseolus,aconitifolius,,,Jacq.
397,Vigna,sesquipedalis,,,W.F.Wight
397,Vigna,sinensis,,,Endl.
398,Vigna,catjang,,,Walp.
398,Pachyrhizus,tuberosus,,,Spreng.
398,Pachyrhizus,erosus,,,Urb.
398,Psophocarpus,tetragonolobus,,,DC.
399,Dolichos,lablab,,,L.
399,Dolichos,lignosus,,,L.
399,Clitoria,ternatea,,,L.
399,Canavalia,ensiformis,,,DC.
399,Canavalia,gladiata,,,DC.
400,Stizolobium,deeringianum,,,Bort.
400,Stizolobium,hasjoo,,,Piper & Tracy
400,Stizolobium,niveum,,,Kuntze
400,Pueraria,hirsuta,,,Schneid.
401,Kennedia,nigricans,,,Lindl.
401,Kennedia,prostrata,,,R.Br.
401,Hardenbergia,comptoniana,,,Benth.
401,Hardenbergia,monophylla,,,Benth.
402,Lespedeza,striata,,,Hook.& Arn.
402,Lespedeza,bicolor,,,Turcz.
402,Lespedeza,formosa,,,Koehne.
402,Lespedeza,japonica,,,Bailey
403,Lotus,tetragonolobus,,,L.
403,Lotus,corniculatus,,,L.
403,Lotus,jacobaeus,,,L.
403,Lotus,berthelotii,,,Masf.
403,Glycine,max,,,Merr.
403,Cajanus,cajan,,,Millsp.
404,Medicago,lupulina,,,L.
404,Medicago,sativa,,,L.
404,Melilotus,alba,,,Desr.
404,Melilotus,alba,var.,annua,Coe
404,Melilotus,indica,,,All.
404,Melilotus,officinalis,,,Lam.
405,Trigonella,foenum-graecum,,,L.
405,Trigonella,caerulea,,,Ser.
405,Trifolium,repens,,,L.
405,Trifolium,hybridum,,,L.
405,Trifolium,alexandrinum,,,L.
405,Trifolium,incarnatum,,,L.
406,Trifolium,rubens,,,L.
406,Trifolium,pratense,,,L.
406,Trifolium,pratense,var.,perenne,Host.
406,Trifolium,pratense,var.,foliosum,Brand.
406,Trifolium,medium,,,L.
406,Crotalaria,capensis,,,Jacq.
406,Crotalaria,retusa,,,L.
406,Crotalaria,candicans,,,Wight & Arn.
407,Baptisia,tinctoria,,,R.Br.
407,Baptisia,australis,,,R.Br.
407,Lupinus,polyphyllus,,,Lindl.
408,Lupinus,polyphyllus,var.,moerheimii,Hort.
408,Lupinus,roseus,,,Hort.
408,Lupinus,densiflorus,,,Benth.
408,Lupinus,luteus,,,L.
408,Lupinus,albus,,,L.
408,Lupinus,termis,,,Forsk.
408,Lupinus,hirsutus,,,L.
408,Lupinus,pilosus,,,L.
408,Lupinus,hartwegii,,,Lindl.
408,Lupinus,subcarnosus,,,Hook.
408,Lupinus,mutabilis,,,Sweet.
408,Lupinus,mutabilis,var.,cruckshanksii,Voss.
409,Lupinus,nanus,,,Dougl.
409,Lupinus,affinis,,,Agardh.
409,Lupinus,pubescens,,,Benth.
409,Lupinus,hybridus,,,Voss.
410,Erythrina,cristagalli,,,L.
410,Erythrina,indica,,,Lam.
410,Erythrina,indica,var.,picta ,Hort.
410,Erythrina,herbacea,,,L.
410,Erythrina,arborea,,,Small.
410,Erythrina,corallodendrum,,,L.
410,Erythrina,caffra,,,Thunb.
411,Amorpha,canescens,,,Nutt.
411,Amorpha,fruticosa,,,L.
411,Caragana,frutex,,,Koch.
411,Caragana,chamlagu,,,Lam.
411,Caragana,arborescens,,,Lam.
412,Caragana,microphylla,,,Lam.
412,Sesbania,grandiflora,,,Poir.
412,Robinia,pseudo acacia,,,L.
413,Robinia,hispida,,,L.
413,Robinia,viscosa,,,Vent.
413,Gliricidia ,sepium,,,Steud.
413,Cladrastis,lutea,,,Koch.
413,Sophora,viciifolia,,,Hance
413,Sophora,japonica,,,L.
414,Clianthus,dampieri,,,A.Cunn.
414,Clianthus,puniceus,,,Banks & Soland
414,Colutea,arborescens,,,L.
414,Swainsona,galegifolia,,,R.Br.
415,Anthyllis,barba-jovis,,,L.
415,Anthyllis,vulneraria,,,L.
415,Onobrychis,viciaefolia,,,Scop.
415,Onobrychis,cristagalli,,,Lam.
416,Coronilla,emerus,,,L.
416,Coronilla,glauca,,,L.
416,Coronilla,varia,,,L.
416,Glycyrrhiza,glabra,,,L.
416,Galega,officinalis,,,L.
417,Indigofera,suffruticosa,,,Mill.
417,Indigofera,tinctoria,,,L.
417,Indigofera,gerardiana,,,Grah.
